IdUtilizador,Nome,Email,Password,DataNascimento,DataCriacao,Geolocalizacao
1,Mo Xiuying,xmo@outlook.com,Q8CEXa1S5H,23/10/1972,19/2/2023,-9, 	 +180
2,Brenda Young,yb2@gmail.com,g8hC65mzoE,14/6/1984,8/7/2022,8, 142
3,Xue Xiaoming,xuexiaoming@gmail.com,VgjPO7ows7,4/3/1982,28/3/2024,16, +154
4,Nakagawa Sakura,nakasakura@gmail.com,vCCmhi0M35,3/3/1998,18/6/2024,90.0,180.0000
5,Lam Ming,lam2020@sapo.pt,HDQnEueFbW,28/10/1992,26/7/2025,4.232,	180.000
6,Yin Chun Yu,cyyi@yahoo.com,y4rmjSugHJ,30/4/1996,2/8/2024,56, 	26
7,Janet Aguilar,janetagui@gmail.com,GuyL8lWzC0,24/12/1999,21/8/2025,8.2,	 +180.0000
8,Tang Xiaoming,xiaomingtang9@hotmail.com,6SbS6UezeR,16/7/1978,24/3/2025,84.1,			-104
9,Okada Takuya,okada601@yahoo.com,ZdXmSaouXJ,21/6/1974,13/7/2023,9.5,11.2929
10,Yamaguchi Seiko,yamaguchisei@outlook.com,V3G62GHe10,24/5/1998,9/3/2022,-90.0000,  3.302
11,Tang Ho Yin,tanhoyin605@gmail.com,k7lfQ8AYfp,27/10/2003,26/5/2022,0.986,	  +180.000
12,Ernest Chen,chern1008@hotmail.com,IG10QofAtl,4/4/1977,4/10/2025,-21.5, -6
13,Fan Rui,fan2@hotmail.com,Oaxe5H35cJ,18/7/1992,5/1/2024,42.836, 	+180
14,Mao Jiehong,majiehong@mail.com,hazYegD0kI,22/12/1992,10/6/2023,+90, 91.8
15,Deng Zitao,zitao53@gmail.com,cXzsWcLTqw,9/5/2001,29/11/2023,+74.7038,-180
16,Xiao Shihan,xiao325@gmail.com,8C2EBE7RAy,2/3/1986,6/10/2025,-8.301,  +150
17,Taniguchi Itsuki,taniguchiit@outlook.com,eiiz3UKMBH,28/11/1976,23/1/2022,+17, 	 63.894
18,Mok Wai Yee,mowy2008@icloud.com,VgwKOkf5uT,15/10/2004,19/2/2024,-0,		 -180
19,Yamada Hina,hinayamad@outlook.com,OP94qZXk97,4/4/1989,15/5/2023,+90.00,		-3
20,Man Wai San,manws@mail.com,XvDdTVJidK,7/6/2001,28/8/2024,-0.1970, 	180.0000
21,Ding Jiehong,dijieho2@outlook.com,9emG9bvNJj,23/12/2004,9/9/2022,0.353, 180
22,Chan Hok Yau,hyc@outlook.com,z8mL6pFAxM,4/4/1995,24/4/2025,90,23
23,Lillian Crawford,crawfl@outlook.com,zO74aRJQdC,7/6/1985,20/6/2025,60, 1
24,Saito Ayato,ayatos@gmail.com,80EDsyPsWF,9/10/2000,21/3/2022,90.00, 	 180
25,Chic Tak Wah,chictakwah@outlook.com,o2B4NYzcNe,22/4/1995,18/4/2022,3,	 180.00
26,Kevin Evans,ekevin@gmail.com,fez60skj2V,31/3/1998,18/4/2023,90.00, +179
27,Liang Xiaoming,xlian@icloud.com,L07iZ1l8JU,31/3/1999,29/10/2022,90,			+180
28,Annie Walker,walker6@hotmail.com,oYXBoosj7A,2/8/2005,31/1/2025,90, 180.0
29,Randy Harrison,randy9@hotmail.com,O5pvcXsrLN,26/11/2005,25/5/2022,-6.38,+180.0000
30,Willie Roberts,wroberts1953@gmail.com,oAdaYqVC3P,17/11/2002,20/6/2025,90.0, 	180
31,Nakano Hazuki,hnaka9@sapo.pt,hhfOvZN5O3,11/5/1992,24/5/2025,-33.9336,			+140.3
32,Choi On Kay,okchoi@sapo.pt,FikPEViPpJ,16/8/1980,20/5/2023,57.7482, 	58
33,Zhu Xiuying,xiuying2@hotmail.com,OGuyCJcTjm,29/5/1993,19/10/2023,9.928, 5
34,Yan Yuning,yan2@gmail.com,JHfRZKfxf2,23/5/1992,17/5/2025,90, +180.0
35,Maeda Hikari,him@icloud.com,n2brGOj5nD,14/3/1972,15/10/2024,+9,  5
36,Fong Tak Wah,tafong@sapo.pt,3LEliIIxLu,13/5/1993,29/6/2025,11.3,			180.0000
37,Lo Ching Wan,cwlo126@hotmail.com,OjCrDeLapj,31/3/1976,9/4/2025,3.54, 180
38,Yamashita Hina,yamahina68@hotmail.com,Rx5yosR3iW,25/4/1975,3/6/2023,+61,180
39,Fujiwara Eita,eitf@gmail.com,W9bbTrOfCn,25/1/1999,2/7/2022,+27,		+180
40,Goto Kazuma,goto910@gmail.com,A6gIdIqmj6,10/4/1973,18/12/2025,90,-141
41,Norma Thomas,thomasn10@mail.com,NfgakWkPyN,29/10/1970,7/10/2023,8,	+180.000
42,Wei Zhennan,zhennw@gmail.com,qkI5rmSUzF,29/10/1995,17/4/2023,-89.04,	 -180
43,Tian Jiehong,tiaj@hotmail.com,f1qpnujTCS,20/11/1981,7/3/2023,-19.2,	 -180
44,Lee Fat,fatlee63@mail.com,7hjynEs2e3,15/10/1989,25/9/2025,-7.91, 		+180.0000
45,Nakagawa Hazuki,nakhaz4@outlook.com,938WrTB4GN,24/11/2002,19/6/2022,90,+180.000
46,Tian Jiehong,tianji@hotmail.com,RpvKBghp5I,10/7/1975,14/5/2023,-44,118
47,Xiong Anqi,anqixio1984@gmail.com,fslRf2jTk4,31/1/1996,15/10/2025,-84,42.601
48,Maeda Mio,maeda3@yahoo.com,KwruM1NnsJ,24/4/1976,6/11/2025,12.8048,	  +180.0000
49,Ishikawa Yota,ishikawa731@gmail.com,pA2hglmENz,8/11/1974,24/6/2024,90, 	 180
50,Otsuka Sakura,sakuraotsu@outlook.com,8oSZvPdEPl,2/1/1994,30/10/2024,+90.00, -180.0
51,Nishimura Ayano,an88@gmail.com,rjPwwdjWOJ,11/8/1996,21/1/2025,90.0000,		 180
52,Leslie Morgan,lemorgan@outlook.com,VwgJdkaSsN,6/3/2000,4/4/2022,-90.000, 	-180
53,Randy Moore,ranm@gmail.com,ZDeAaFOnzN,30/3/1979,13/10/2023,90.00, 18
54,Yeung Ka Ling,ykaling@hotmail.com,oRZbX5dMKe,9/3/1986,10/12/2022,-90,180.0000
55,Arimura Mitsuki,mitsarimu@gmail.com,ugeuxyN2Kq,21/7/2004,24/5/2024,-90.000,			+180.00
56,Rita Roberts,robertsrita50@icloud.com,eXSfzUqkgX,19/9/2004,21/5/2022,21,	 	-3
57,Kaneko Kasumi,kaka83@hotmail.com,QOQ7UjZJoD,19/1/1996,2/10/2024,+6.4,	 180.0
58,Lei Yuning,lei1995@icloud.com,SoDzrX6Lqa,19/10/1990,15/4/2024,-5, 143.42
59,Billy Ortiz,ortiz711@gmail.com,xQCRjtfFHJ,13/3/1994,17/1/2025,-13.2, 		+180.0000
60,Joyce Ruiz,rujoyce@outlook.com,1PqgKIdzLi,11/2/1983,4/7/2023,+65.3117,	  +180.00
61,Tang Zitao,tzitao@gmail.com,ZVmM6B7Vq3,6/6/1991,21/7/2024,+8,			143.6
62,Yau Ka Fai,yaukafai5@icloud.com,xNXm7pzkxw,21/1/1989,12/4/2024,1.1, +139.2818
63,Huang Yuning,huayunin304@icloud.com,mhrsX1ZKRU,21/12/1975,20/10/2023,90.00, 	 +132
64,Su Yuning,su7@gmail.com,WeJD8k8cks,14/1/1972,19/9/2023,90,	-13.973
65,Shimada Mio,msh@gmail.com,8yvFNAWILL,5/10/1999,2/12/2022,+90.000,	 134
66,Choi Ka Man,kmcho@hotmail.com,9z3JViQlcq,1/5/1987,26/7/2024,-90.00,+180
67,Loui Chung Yin,cylou@gmail.com,cHUJtPL9RK,3/6/1990,30/11/2022,+63.3,	180.0000
68,Kam Hok Yau,hokyauk@gmail.com,7Vysyuxt15,13/10/1974,21/5/2023,90.0000, 		180
69,Guo Jiehong,jiegu@outlook.com,oVN0lQyf6Q,22/4/1995,2/9/2025,+6,			180.000
70,Long Xiaoming,xiaoming67@gmail.com,gk6q6DW9PV,16/11/1991,10/12/2025,-90,  180.0
71,Yuen Ka Man,kmyuen@gmail.com,fjfMuRjMrU,23/5/1978,5/3/2023,-50,		180.000
72,Tao Yunxi,taoy@gmail.com,908qDluwLB,5/1/1972,11/3/2024,85.41,  -170.908
73,Irene Bryant,irebrya@gmail.com,kpaGiM3fiS,11/2/1984,21/7/2023,51,+31
74,Kikuchi Airi,aik@gmail.com,cSb3yjk1Sb,29/10/1993,18/9/2022,-90.000, 	+180.000
75,Cao Shihan,caoshiha6@gmail.com,a745DacnS0,27/11/1990,24/3/2023,-90,	  130
76,Kaneko Mitsuki,mitsukikaneko@icloud.com,v2TmjeENqV,9/1/1977,28/9/2022,+90,  +101
77,Zeng Anqi,za92@gmail.com,m7Esrzdktb,20/9/1976,13/6/2023,-90.0000,180.00
78,Kim Roberts,kimrobe9@gmail.com,dfD8ANYXx2,30/10/1972,2/12/2023,90.00,			136.53
79,Kimura Ayano,kimura7@hotmail.com,ZK8hX19bRb,29/5/2004,13/12/2024,12.2649,180
80,Keith Tucker,tkeith@hotmail.com,jm8lkRtkoN,9/8/2005,31/3/2025,-87.75,	  180
81,Zou Jiehong,jz12@gmail.com,leYOOnyCnv,28/11/1982,14/10/2023,90.000,	 180.00
82,Yung Chiu Wai,yungcw730@gmail.com,vsEdNcjb3P,8/8/1988,2/11/2022,+90.0000,  +180.000
